issue,priority
Garbage issue in colony,Low
Water leakage in home,Low
Minor road crack issue,Low
Park cleaning required,Low
Dustbin overflow in local street,Low
Public toilet cleaning issue,Low
Minor street repair needed,Low
Garden maintenance issue,Low
Noise complaint in neighborhood,Low
Playground cleaning required,Low
Street sweeping required in colony,Low
Public bench broken in park,Low
Garbage bin missing in street,Low
Minor paint repair in school wall,Low
Water tap leakage in park,Low
Community hall cleaning needed,Low
Mosquito issue near drainage area,Low
Public washroom maintenance needed,Low
Minor fence repair in playground,Low
Street name board damaged,Low
Dust accumulation in public road,Low
Small pothole near house,Low
Public park grass cutting needed,Low
Street dog nuisance complaint,Low
Local market cleaning required,Low
Garbage pickup delay complaint,Low
Small crack in footpath,Low
Street sign board faded,Low
Minor wall repair in colony,Low
Drain smell complaint in locality,Low
Street sweeping not done regularly,Low
Public dustbin lid broken,Low
Minor gate repair in community hall,Low
School garden maintenance required,Low
Small water puddle complaint,Low
Public handpump minor leakage,Low
Street pole painting needed,Low
Neighborhood sound disturbance complaint,Low
Park light decoration repair needed,Low
Flood affected farmland urgent help needed,High
Rescue team needed for trapped villagers,High
Emergency shelter required after cyclone,High
School flooded students evacuation needed,High
Bridge washed away due to flood,High
Major accident on highway urgent ambulance,High
Dam overflow immediate rescue needed,High
Building fire spreading rapidly urgent response,High
Hospital ICU emergency support required,High
Strong winds damaged homes urgent relief,High
Village submerged due to river overflow,High
Flood relief food needed urgently,High
Fire in hospital building emergency response,High
Gas cylinder blast urgent rescue needed,High
Bridge collapse blocking rescue vehicles,High
School bus accident urgent medical help,High
Earthquake cracks in homes dangerous situation,High
Severe flood damaged crops and homes,High
Emergency medical camp required in village,High
Road collapse near hospital dangerous issue,High
Transformer explosion near market urgent help,High
Flood in town rescue boat required,High
Major landslide blocked village entrance,High
Serious building crack collapse risk,High
Electric short circuit causing fire emergency,High
Road blocked due to fallen electric pole,Medium
Village drainage overflow after rain,Medium
Public road waterlogging issue,Medium
Street transformer repair required,Medium
Roadside tree needs cutting for safety,Medium
Government building roof repair needed,Medium
Bridge side wall damaged needs fixing,Medium
Public pipeline low pressure issue,Medium
Traffic signal timing issue at junction,Medium
Water tanker supply issue in colony,Medium
Broken bus stand seating issue,Medium
Road shoulder damaged after rainfall,Medium
Electric meter issue in public office,Medium
Broken drain line needs repair,Medium
Village street road uneven surface,Medium
Rainwater entering community hall,Medium
Low voltage problem in village area,Medium
Public handpump not working properly,Medium
Minor bridge repair required soon,Medium
Drain blockage causing bad smell,Medium
Minor garbage collection delay,Low
Street flower plants maintenance needed,Low
Public wall repainting required,Low
Small crack in compound wall,Low
Dustbin cleaning needed in market,Low
Minor drainage cleaning request,Low
Street mirror broken near turn,Low
Public notice board repair needed,Low
School classroom fan repair issue,Low
Park sitting area cleaning required,Low
Local road marking faded,Low
Minor footpath leveling required,Low
Street tap loose connection issue,Low
Public water cooler cleaning needed,Low
Garbage spread near roadside,Low
Park fence paint faded,Low
Minor lighting issue in park,Low
Dust accumulation near bus stop,Low
Neighborhood minor parking complaint,Low
Community board fixing required,Low
Public toilet light not working,Low
Garden plants watering issue,Low
Minor sign board replacement needed,Low
Street bench cleaning request,Low
Small public tap repair needed,Low
School gate minor repair issue,Low
Public road side weeds cleaning,Low
Dustbin relocation request in street,Low
Minor noise complaint near shop,Low
Park pathway cleaning needed,Low
